評論者,星等,評論內容
梁凱勛,2,今天(2/11)午餐結帳女店員態度不佳，當客人對金額有疑問時，不是快速的把餐點重複唸出來就沒事好嗎？
Lynton Wang,3,"不知道為什麼，我覺得跟香港道地的味道比起來還是差了一點，可能是因為我在香港住過一段時間的關係。不過還是值得一試。It's a little different from the traditonal restuarant at HongKong, but worth to get a try."
TC Yang,2,"老闆是香港人
凍奶茶很地道
只是乾炒牛河不夠鹹
店員服務不錯
很常來巡桌清桌面
下次再嘗試其他餐點"
空盤子,5,"最喜歡這裡的西多士，附上一壺楓糖任你加
港式飲料也很到位，餐點偏油，但算是道地港式料理的其一特色啦～很常看到學校的香港僑生在店裡用餐"
Amma Chen,5,*超級推*雖是港式餐廳，卻有想像不到的物超所值，美味可口。不輸一流飯店的高檔港式美食。只要是港式料理，你所想得到的這裡都有。連飲料都有寶，走過路過，小心不要錯過。
陳怡萱,2,覺得蠻普通，第一次吃港式餐廳就覺得蠻不值得，明明只是普通的炒泡麵加肉也可以賣到130
高茹萍,5,餐點很棒，服務也很好，但是要有排隊曬太陽的準備
何偉生,1,飯類=香港工人便當的水準，部份港式口味敷衍了事，咖哩綜合的魚蛋口感！港式午餐肉飯的菜是用什麼配菜？感覺在吃港式便當。
張嘉璿,5,好吃又平價的香港餐廳，真的不錯，推薦台北人都可以來吃吃看，奶茶也很道地，茶味濃厚。
Shannon Yeh,5,光顧十年以上，不論住在哪裡，都會想回來吃。物美價廉、鍋氣十足、簡單卻讓人回味無窮的正港茶餐廳。
陳偉欽,5,服務態度很好的香港茶餐廳，與其他港式餐廳比較起來餐點不會太鹹，很適合台灣人口味，炒飯吃起來很清爽無負擔！：p
劉Eclo,5,"法蘭西多士推推
芝麻糊也很猛"
Youan Nieh,4,店員都是香港人喔。
張小八,5,"餐點好吃平價，店員高效率，會靠北態度的都是奧客啦不適合吃這樣正統的茶餐廳，這裡是吃飯的地方不是咖啡廳ㄟ，外面等的人這麼多當然要一直翻桌
每次肚子餓的時候來都不會讓我失望👍 …"
wendy liu,5,"餐點非常好吃～服務也很棒💗
法蘭西多士必點極品美味‼️"
朱大銘,4,吃白板上的套餐，人多再加點它的熱炒，尤其是X.O醬炒蘿蔔糕，甜點吃西多士。下午茶也有套餐。吃港式餐廳，一定要點今天的特餐再加點CP值才會高。
T C,2,搬了新店址，店面明亮整潔，口味普通沒特別驚豔，漲價情有可原，但師傅們都在廚房抽煙，連打烊時，掌櫃都直接在櫃檯抽煙算帳，觀感很差。
張家維,5,"老闆很親切,食材也都很新鮮,道地的港味美食,好喝的鴛鴦奶茶一定要喝"
Meng-Chan Lee,1,連蘿蔔糕都比早餐店難吃 更別說其他東西 價位很港式 味道卻比台式還差 似乎已經忘記開店的初衷
林佳蓉,5,餐點好吃，每個店員都很細心以及熱心
Dewey Chiu,5,餐點絕對滿意，唯一可以挑剔的是，作為一個港式餐廳，他的服務態度太好了😄，讓我每週都想吃！ …
Penny PAPA Pan,5,東西好吃！CP值超高！服務非常到位！一錠會帶家人再來拜訪！
Joy Tseng,5,"總是人山人海
剛入場沒多久外面就開始排隊
店家服務態度蠻好
每日限量老火湯必點 每天不一樣"
Ada,5,連續兩天來吃了，老闆人超nice，味道很道地，推薦鹹魚雞粒豆腐煲❤️❤️❤️
Zoe Tung,5,"從大一吃到大五生意一直都很好
份量很夠 口味道地 好多港澳生會來吃"
Alex,2,口味普通 看個菜單想要吃什麼 就拼命問 要吃什麼嗎？ 來回3 4次 最後就說不知道吃什麼嗎  很趕時間一樣 價格也不便宜 不怎麼推薦
M,4,生意很好，服務有效率，牛河例湯楊枝甘露普通，辣椒香。
朵朵,3,"算是口味比較淡的茶餐廳，上菜迅速，收桌也很快！
CP值普通 不會再想去"
陳逸,4,"XO牛肉炒公仔麵好吃！
臘味蒸飯只有四條臘腸跟飯而已，會有點失望⋯⋯"
Suzie Liao,3,點了奶油起司豬排公仔麵，覺得奶味油膩，吃到後面覺得有點噁心，吃不了太多。
Liu Kevin,4,道地的港式口味，種類豐富，價格合理，可以試試
陳海芋,5,空間不大，座位擁擠，但餐點份量大而且好吃又便宜！暫時找不到比這裡過癮的茶餐廳了！
張星希,5,收銀那位女生，我給100分
還在想名字欸,4,"套餐很便宜（180元）（2023/9）
味道偏鹹，很道地
服務、態度都不錯"
Hoyaa Hsueh,5,食物很好吃，地方很乾淨，選擇好多，老闆也好好！！💖
gacita wong,1,"很雷
唯一優點快"
Frank Fan,2,水杯非常不衛生，水杯裝水後用托盤疊放，托盤底放在水杯上一層一層，這水杯你敢用？衛生習慣太誇張
郭凰凰,5,餐點很道地＆老闆和員工服務超親切！
馬希超,5,"同樣的料理 這裡做出來的就是不一樣
好吃的不得了
價位也是平易近人
道地香港師傅手藝 讚"
CT Lin,5,餐點好吃，速度飛快，肚子餓的好選擇，其實菜單背後的炒菜也十分好吃，例如橄欖菜四季豆就很棒
Vita,5,"道地港味，
辣椒超好吃。
XO蘿蔔糕有點油，但口感很嫩。"
胡彼得,4,很道地的港式餐廳，連服務人員都是香港人的感覺，服務態度也是香港原汁原味，來就點，吃完就收！
Rin,4,好多年沒來一樣美味，即使客人不多也急著收盤子，滑個手機都被盯著壓力很大⋯
周詩瑄,5,我點了鮮茄牛肉飯，味道非常香，牛肉很嫩，花椰菜軟硬剛剛好，非常入味。服務也非常好！
呂印祥,5,"上週末去吃還不錯，口味都算蠻道地的
有些日本香港朋友也會過來這邊吃"
張季馨,5,搬了新家，味道依舊沒變，鴛鴦奶茶依舊很道地，鹹魚雞粒炒飯&乾炒牛河很推👍愛吃茶餐廳和港式料理的朋友，一定要來嚐嚐道地香港老闆開的茶餐廳😋 …
ベリリ,5,"腐皮捲很好吃一定要點
炒飯也很可口，粒粒分明且用料實在"
沈思成,5,"法蘭西多士超級好吃，蘿蔔糕也好吃，醬很特別。
店家特別推薦的餐肉蛋豬排飯反而覺得還好"
Miimi Au,4,都不錯，但就是份量比較少，有點可惜。
黃保羅,3,單價稍微平易近人，座位稍小，口味偏鹹，假日造訪時生意很好，若是路過可不要錯過了！
Harry Chang,4,"食物很好吃，不是台味的港式！
裝潢、服務都非常香港，提早去才不會沒位置😂😂
值得一試！ …"
Tia Lin,3,炒公仔麵的牛肉有點老，蠻可惜的，蘿蔔糕中規中矩，法蘭西多士味道倒是不錯，值得再次品嚐。
Adam,4,吃素食的有3-4種選擇，但個人認為台灣的宗教素食者可能不適合，推薦給五辛蛋奶素者
Chiaming Yang,5,"目前我吃港式茶餐廳的第一選擇
口味道地 菜色多樣 上菜快速
每次都可以吃到不一樣的東西
服務態度也很優
以永康街附近來說
CP值很高"
Tinny Wang,4,"8/23以後已經搬到永康街48號
味道一樣好，特式鴛鴦好好喝
不知道吃什麼可以選每日特餐"
劉晏君,5,這家大推，喜歡恰恰的蘿蔔糕必點，炒公仔麵、菠蘿飽都很好吃😋 …
Ray Lin,1,口味油膩且價格貴，跟在香港吃比起來口味沒那麼道地，唯一的優點是出餐速度快
Dennis,5,非常好吃，想回味香港口味的時候都會來。從未失望過，推薦
陳德馨,4,絲襪奶茶好喝，揚州炒飯還行
Luna Wu,4,"干炒牛河（$150）很香不錯吃。
揚州炒飯（$130）相形失色，味道比起來很淡。"
Kelly Huang,3,"生意超好
用餐時段要等位
餐點出餐快
價格平實
西多士好吃
鴛鴦奶茶濃郁
只是吃完一盤收一盤
店家搶翻桌率"
Peter H,3,但跟香港的畢竟還是有點差距，真懷念金鳳茶餐廳的三文治，不過鑫華也算是蠻道地的了，以後想吃港式茶餐廳的餐點，還是可以來此一食。
Yu-Ting Wu,5,"搬家了！
推薦咖哩綜合"
張翊晨,3,炒蘿蔔糕太油了吧，不會再點了，之前吃飯類飲料都還ok，老闆娘心情很差的感覺。
天空是藍的,1,"水來 手指插在裡面....超噁心
吃完年炒飯炒飯和炒麵回家肚子痛的要死了是什麼油..
超後悔吃的
也不用開發票
員工態度也超丘的人在丘什麼不知道
難吃難吃難吃
氣到....快吐血了
為什麼沒事花錢找罪受...."
CH1H왕왕,5,好吃，蘿蔔糕是香港的好好吃。刺青的男店員帥帥的～
Wenhsing Dai,5,吃了十幾年的老味道，好吃、地道！
Khonsu コンス,5,"餐肉蛋三文治
臘味蘿蔔糕
港式炒麵
老火湯"
Muller,1,"打電話問還可以內用嗎
叫我去現場外帶
到現場又跟我說外帶沒了是當大家都很有空嗎^_^"
mingta lin,5,好吃的港式茶餐廳
Jason Huang,4,價格不貴，味道還可以，店面不大，位子擁擠，十足的香港的街邊小吃店
Kai Chong Leong,5,"食物都是道地的港式茶餐廳料理，價錢也十分公道
但看到評論大家都說上餐速度很快收桌速度也很快
但香港的茶餐廳就是這樣呀，而這並不是服務態度不好"
John C,5,純正港式餐廳！ 口味道地，服務態度也非常好，價格合理～
Cecilia Chang,3,味道不錯，但缺點油煙很重，筷子、吸管、醬料盤之類的免洗餐具使用過多～
Thomas Huang,5,口味道地好吃，價格實惠，上餐速度也快，是日常生活可以常來的店，很推薦。
Wu Pearl,4,東西好吃，來吃過很多次了~生意很好會需要等一下，不過翻桌率高不會等太久
shu fai chan,4,好吃香港味，但就是吵鬧了些。和前女友 (現在的太太)去，感覺就不是約會的好去處(哈)，但絕對是吃東西的好地方。
Kevin Wu,4,口味不錯 但份量好像比較少  但我食量不大 還算剛好
傅俊豪,1,搬遷後味道變了，可是人潮不減!糟糕的是用餐環境擁擠，氣氛很趕，吃個飯旁邊站一堆人，一起身馬上從手中搶帳單過去，真的有差那一分鐘嗎!
黃羽亨,5,"餐點好吃
老闆 員工 服務親切
店裡乾淨 衛生 無油煙味"
George Su,5,每回來都有到香港小吃店的感覺，壅擠熱鬧，雖是小吃，每道還帶鍋氣，熱騰騰、香噴噴！
Amber Chou,5,"下課後的愛店❤️
雖然有一點價位但每道料理都超推❤️
尤其飯類都超好吃
大推腊味蒸飯❤️
絕對好吃到五顆心不夠"
Yeh Ivan,5,比鼎泰豐好吃的炒飯在這裡，道地、價格親民，回來吃很多次了，心中唯一一間真正能叫港式飲茶的茶餐廳，大推
崔TY,5,"好吃。也很開很久的老店了

在大安區很老牌的茶餐廳了
也可以外帶
不貴 又好吃"
黃黃黃,5,我喜歡香港老闆的港腔國語還有港仔臉孔，還有最愛鹹魚蒸肉餅飯，蘿蔔糕非常嫩。
瓦特麥倫,5,謝謝老闆的小包子禮物～～菜都非常好吃，出餐快速。重點是非常道地！
Linus Wong,4,"Definitely hit and miss, but if you order right can be solid. The fried rice and beef chow fun both lacked the ""wok hei"" flavor of a proper stir frying in a hot wok. The salted fish and chicken fried rice was particularly funky, not the 鹹魚flavor I was expecting. But the pork rib rice and chow mein are solid. Pineapple bun is also pretty good. Still need to try a few more dishes, like the French toast...
可惜乾炒牛河跟炒飯都沒有鑊氣的味道...還好這裡的豉椒蒸排骨飯跟炒麵不錯。想要再來吃吃看法蘭西多士。"
M J V,3,210103 乾炒牛河油膩無味/排骨蒸飯不優/急著收餐盤的同時，好歹也順便加個水吧
S S,1,青菜的鹹度是鹹魚等級了...
Jack Tung,2,"區域茶餐廳，味道普通，假日人稍多
蘿蔔糕太水，蝦粉腸味淡，咖哩味不錯，肥牛紋米粉肉乾。"
Tasing Chiu,5,生意很好，工作人員很客氣有禮。不過一吃完盤子馬上收走，也太有效率了。
L L,5,多年未北上，第一間想念的餐廳！始終的好味道，價錢公道，出餐快速！
林坤輝,5,點了干炒牛肉河粉和揚州炒飯，真的很好吃！人有點多，需要早點去
青青,5,東西真的好吃，兒子喜歡煎腸粉，我喜歡三文治
分享者,2,餐肉豬排飯、蘿蔔糕、菠蘿飽、奶茶、 鴛鴦、全部普通、服務態度0K'名氣大於口味＇沒有道地茶餐廳的感覺
張毓文,5,"每到用餐時間都會出現排隊人潮的店
港式料理道地好吃，上餐快速，份量大！"
Chia-Wen Chang,4,東西好吃但是服務生會一直收東西趕你，所以要聊天久一點的不要吃這間。
Marcus Su,5,好吃，便宜，道地港味，不用出國一個人兩百上下就可以吃得很滿足。
Marty Wu,5,價格很合理，沒有一成服務費，食物也很好吃且道地，是台北市港式茶餐廳第一首選
徐濬哲,5,搬新家！口味依然不變的美味道地，
Ricky H. J. Yu,4,"道地港點

2019年6月會遷新址"
周美 如,4,很不錯，价位不高，味道不錯，中午要11：30以前到，就比較有位置，過了就要排隊了！
frank chang,5,原來在政大公企對面（金華街），因為要改建搬到永康街48號，老闆ㄧ樣親切，一樣的廣東腔國語，東西ㄧ樣的好吃！
Judy,2,漲價後顯得cp更低，平均來說點什麼都蠻油的，味道不錯就是有點太貴了
Kunta Hsieh,5,排骨蒸飯很好吃！蘿蔔糕也很好吃！想吃港式的好選擇。
Chih Cheng Tsao,4,好吃的茶餐廳，菜色多樣好吃，出餐速度快，佈置簡潔，座位適中寬敞。
店長,4,老闆和部分店員是香港人，可能是我離開香港太久忘記了茶餐廳真正的味道，雖然和想像中的港味不一樣，但是好吃的
Sandy S,5,上菜速度快 ，價格合理，推……老闆、老闆娘是香港人，道地茶餐廳，愛牛肉蛋麵、鳳梨雞丁炒飯。
Xsu3MOTHER,5,搬家了，法蘭太甜，公仔麵太鹹，楊枝甘露普通，其他都好吃。充滿港味的一家店。
Frank Lo,4,"澳門朋友帶我去吃的
點了干炒牛河、奶茶、菠蘿油 都不錯吃
菜單豐富 會再來嘗試其他菜色"
姚恩智（捌佰姚龍）,5,"懷念的好味道～
店搬離開永康街五年了，回來一定來吃～"
yun pei,1,炒麵的麵不入味，吃過炒麵跟滑蛋牛肉飯，全部都是勾芡，滑蛋牛肉飯超難吃，整碗勾芡，飯都沒味道...
Adam Huang,4,太久沒來，為什麼西多士已經沒有一整罐糖漿了😞 …
羅婉慈,5,好吃又乾淨，重點不貴！ 值得再訪
Ti Wang,1,上菜沒報菜名沒檢查菜單，結果上錯菜還怪客人吃錯了，第一次點怎麼會知道菜長什麼樣子，整體味道還可以，但服務真的不太好。
YH Huang,5,東西好吃便宜，人很多要排隊，但翻桌快所以不用等太久，座位並不擠迫，很推薦
瘦皇后,5,港味濃厚，目前每一道餐點都覺得很好吃😋
陳淑玲,4,物美價廉分量足，用餐時間人不少，提供外帶，外食族經常光顧的餐廳，飯麵都有！
何應金,5,.'港式口味不错。服務很好！尤其是吧檯的妹妹很有耐心解釋。下次還會再來。
平濤ㄦ,5,"老闆服務態度好，東西好吃，重點價格超平價。
列入口袋餐廳之一。  歐麥G勒"
王Ruby,5,超快的上菜速度，揚州炒飯超好吃，讓人意猶未盡，份量也很多，一定會再來用餐
Leewei Pai,5,道地的港式茶餐廳，出餐速度通常頗快。近來餐肉品牌換了，滋味不對，可惜。
Chen Lisa,5,幾乎每道餐都很好吃，港式奶茶也很棒！老闆人很好+親切：））
謝源駿,5,味道正宗，上菜速度快，牛河、吐司，推薦喜歡茶餐廳的朋友一定要試試
游珍華,1,今天上是好幾訪，讓人失望的服務，排隊了半小時，ㄧ直讓熟客差隊，不是差ㄧ組，太傷人心，
JN Hsu,3,人潮多但換桌率算快，推牛雜麵好吃，太忙碌店家會漏餐，結帳時需留意。
Kiming Li,5,環境乾淨，老闆親切，東西也很好吃，鴛鴦跟在香港喝到的一樣味道。
藍亞倫,4,濃濃香港味的餐廳 東西都很好吃 不同的是老闆很好客 這個很不香港 推推
林應璞,5,口味不錯，蠻好吃的，正宗港味！
黃鈞翊,4,"味道還算ok，對得起價格
不過服務真的非常不道地啊啊啊啊，香港人的服務怎可以這麼客氣XDDDDDDD"
Tai-Heng Chen,4,道地的香港風味茶餐室
Oh Queen,5,"買明月堂和菓子的路上瞄到
餐肉蛋豬排飯
豬排有咖哩香，餐肉煎微焦，連燙高麗菜都蔬菜甜味和脆度
好絕美的組合
意外好吃👍🏼👍🏼👍🏼👍🏼👍🏼"
Peter Kuan,3,口味不錯符合自己對港味的預期，但環境吵雜擁擠，吃飯有壓迫感。
Weicheng Hung,4,揚州炒飯非常美味，雖然菠蘿和蘿蔔糕有點冷，但味道還是十足美味。
YEN,5,"以兩人用餐來說份量足夠，上菜與收盤速度都很快
餐點也不錯～"
iau chang,5,上菜速度超級快！非常好吃！從小吃到大嗚嗚嗚嗚
THOMAS WANG,1,"催客人 老闆的臉(不予置評) 以為港仔就了不起嗎
茶餐廳一堆哪裡吃不到
還好是別人請客 沒賺到我的錢"
Kin Lei,2,口味還可以，但在港澳當地茶餐廳吃到的還有一段距離
Vincent Wang,5,好好吃，有機會就會再去，最好自備環保餐具，尤其是湯匙
風林火山,2,主菜不錯吃，但沒什麼配菜，價錢算很貴。
胡鈞甯,5,激推奶酥流沙捲！！！
17 Va,5,有夠道地有夠好吃 也不太傷荷包! 週末建議早點來比較有位置
林郁穎,3,店特別推薦的餐肉蛋豬排飯蠻令人傻眼的...公仔麵還可以。
祚斌邱,4,好吃，比祥發便宜很多，至於服務，，，港仔都是這樣一副屌屌的，習慣就好
邱唯旭,4,台灣能找到道地的港式餐廳，有一定水準，台灣很多港式餐廳連凍檸茶都做的亂七八糟，這家絕對給你滿滿的港式道地口味！
Jay Shang,3,生炒牛肉飯 我覺得不夠粒粒分明(乾身) 沒有放西生菜進去炒 味道不夠道地
MINGHONG,1,餐點還沒吃完，搶著上來整理餐桌，翻桌率高不是這樣刷出來的吧
韓森,5,XO炒公仔麵非常好吃，服務人員很貼心，吃完很快就收盤，水杯一半以下就會幫忙倒水
敝姓經,2,只能說給超過2分的應該沒有吃過大排檔跟波記茶餐廳吧⋯
YUN CHU FANG,4,推乾炒牛河 咖哩綜合！
Qian Gu,4,從食物到老闆，服務員，一切都很香港，很正宗的港式茶餐廳，好吃！
張晉,4,東西平價好吃😋 …
bah922 bah922,5,來過很多次.隨來隨心點.黑椒豬排飯配蠔油青菜，永遠吃不膩！
Yukiko Lian,5,"東西好吃，菠蘿包吃了會升天！
超讚，老闆跟員工又可愛
第一次去老闆還幫我們去零頭"
catcat catcat,4,波蘿包跟炒飯好吃，上菜、外帶的節奏很快，是快速填飽肚子又好吃的選擇。奶茶普普。
Adam Tsaur,3,港式的餐點的技術含量祇有吃了你才會知道，我是不會再去了。
Will Lin,3,平價實惠的茶餐廳，CP值與口味相符且令人滿意。
吳錦麟,5,他們家的餐點我都好喜歡喔，港式手藝詮釋的很好，好好吃！
MKM,5,好吃 值得細細品嚐
John,1,點豬排肉蛋餐 完全沒加醬油 乾到不行 實在太誇張 之前常吃 以後決不會再去吃了 爛！
Yu-ning Chen,4,平常偶爾來這邊吃吃當日特餐也不錯，港式鴛鴦奶茶道地。咖哩魚蛋普通。
Rachel H,3,"我點了干炒牛河....
嗯……我覺得鑊氣有出來，但醬香不夠"
謝佩蓉,5,鮮肉腐皮卷及奶黃包意猶未盡！
llxxwhat2 Wang,1,上廁所發現像是倒開水的兩個大水瓶其中一個打開像是洗到一半就放在廁所地板上，空間狹小又靠近馬桶，衛生堪慮....
許育萁,5,100元能在台北市吃到一份簡餐超划算，想念以前的芙蓉蝦仁飯～
Nell Chu,5,吃了十幾年，真的是很道地的港式口味，不過常常需要排隊
WANG,5,很好吃，每天會有不同的特餐搭飲料很划算，很值得來吃吃看!
曹孟涵,4,"很難得在台北吃到這麼富有港味的茶餐廳~雖然份量都不多價錢也不便宜,還是值得來吃"
陳采采,5,法蘭西多士 淋上楓糖漿，抹勻奶油，一口咬下，還有 花生醬的香氣，好好吃喔！！
Ennis Lin (Ennis),3,"廣州炒麵好吃，每日特餐C/P值高～
每次都不主動提供發票，扣2顆星🤨 …"
Mitch Tang,4,"十分有茶餐廳的特色。食物普通好吃。
缺點是點餐單沒圖片，看不懂香港話。"
Rong,1,特餐有夠小就要170，比我在外面買50元便當還小
Oscar Iong,4,難得好吃實在
YC CHANG,4,食物美味，老闆是很有禮貌的香港人
劉阿亮,4,好吃，但用餐節奏較快，來用餐時要有心理準備。
Jessica Huang,4,魚蛋和蘿蔔糕貌不驚人，但非常好吃，炒河粉也很有水準！
黃紹禮,2,"鹹食可以
甜食很不推奶黃包，吃起來很像義美的冷凍奶黃包"
Wei Ting Chen,5,超好吃，比國父紀念館附近的茶餐廳好吃，也比波x好吃
Sheila Lam,5,"道地的香港餐廳。
炒飯、炒麵、各式菜餚、例湯、港式奶茶、檸檬茶、西多、煎腸粉……都值得推薦。
而且價格合理大衆化"
漆文如,4,平價 道地 選擇多。吃了很多樣 從未踩雷。服務不錯 老闆熱心 客人超多。
鄭孖智,3,炒河粉類還不錯吃，但三明治類竟然沒夾半點青菜，其他的都普普。
Liu Yu Cheng,5,鹹魚炒飯 老火湯 蘿蔔糕都好吃😋 …
Haewei Wan,4,XO 醬炒公仔麵、廣式炒麵、煎腸粉、煎薄餅、阿華田、絲襪奶茶、檸蜜等均具水準。
LACE G,3,變得沒那麼好吃了，流沙包也完全沒有流沙，不夠燙，也不夠有味道
wu abby,3,還不錯吃，餐品選項多，每天會有幾樣特餐可選。
YD CHEN,2,"不太好吃又很貴
外場服務阿姨口罩拉到下巴乾脆不要戴"
Alex Su,1,食材偷工減料，口味很一般，價錢是品質的兩倍以上，不會再去吃了 !
楊小明,3,臘味飯不優。蔥油雞肉飯普通。鴛鴦奶茶比較好些。我覺得他們退步了
Jessie Chen,1,外帶訂餐，很沒耐性沒在聽，問一下餐點內容物參考訂餐，店員一直敷衍了事裝沒聽見要直接掛電話
Jia Feng,4,點了橙花雞排飯，除了皮炸得硬了些，口味算不錯
徐文星,5,不錯吃，在永康街以這個價位來說，算不錯了
SAKA CC,5,上菜快速，服務親切，餐點到地美味～
Dochu Kao,5,"店員默契滿分，看了溫馨
服務態度優良而且食物好吃
店內環境乾淨明亮，值得再訪！"
ctong,5,餐點好吃老闆親切 推！
Nick Yao,5,"突然間想吃，結果疫情竟然暫時停業了🥲🥲🥲
謝謝回覆，下星期就去吃！（7/3更） …"
陳有信,5,超級好吃，老闆說什麼完全聽不懂，但是推薦的都好吃
翁無,5,平價好吃的港式，煎腸粉的味道非常的好，超推
方啟瑩,5,"喜歡港式飲茶的這裡是不錯的選擇,好吃,好喝只等您們來評論。"
Twhenki0726,5,這家的老火湯有料👍🏻
marven lin,4,生意很好，味道還好，沒有一般茶餐廳不耐煩的服務人員，整體還算不錯
高維陽,5,很道地的香港美食，店員們也都帶著香港腔調，讓人很懷念香港的午茶時光阿
Judy Liu,4,建議點特餐！特餐通常有四種選擇，餐點和飲料都很不錯，唯一可惜的是稍微油膩一點點。
Kelsey Kuo,4,"外帶速度還算快
餐點單價不算便宜"
陳好意,4,每次菜單都看很久才決定要吃什麼，菜色豐富，記得點杯道地的飲品。
Joanna Yang,5,"非常好吃 值得推薦

很道地 食物跟老闆都是
食物是香港的家常菜 老闆酷酷的😂 …"
Momo WU,5,出餐快速，餐點好吃，服務也不錯，也沒多收服務費，很棒。
KEN BALA,5,鑫華的公司三明治👍👍👍❤ …
RS TAY,4,個人覺得炒公仔麵好吃，咖啡還好，一起吃飯的朋友說奶茶不錯的說。
gan jing huei,5,大多數東西都好吃，上菜超快，收盤也快，去了很多次的店👍👍👍👍 …
李拱憲,4,這家茶餐廳已經開很久了東西很合我家人的口味價錢也ok
Casey Teng,1,千萬別點牛肉炒麵，有油味且調味欠佳，希望有別樣餐點更美味
Zona,5,"香港老闆很親切，港式炒麵、雞湯、公仔麵道地香港味
環境整潔明亮，附近就有停車場"
li do,5,疫情期間可外帶但品項少，服務佳，特色蘿蔔糕
黃國晉,5,經過許多次了！卻不知道已經搬到附近的巷子內！好吃！果然名不需傳！
李娮希,5,"便宜又好吃，喜歡吃腸粉跟豬肉河粉~~
杏仁茶也好喝~~~"
Veronica Cheang,5,"好好吃！
超級地道茶餐廳口味，換座跟出餐都很快。"
Luka CHENG,4,"份量十足，生意非常好
乾炒牛河、香菇雞蒸飯、芝麻糊都好吃"
喬嘉邦,4,"菜色多樣且道地
用餐時人多但速度也夠快
不好停車就是"
Yushan Wei,4,餐點很道地，讓現在沒辦法去香港的我，想吃港市口味就會去報到
白馬非馬,5,道地港式美味 老闆服務態度超好超好客 剛做好的法蘭西多士非常好吃最推薦！
Amy Y,1,乾淨&快速但是价格偏貴了点，菜色尚可但是份量好似變少了，但服務不錯
Amy Chiang,3,餐點好吃，但店員一直趕人，一餐吃不到20分鐘，感受不好。
Ingham Kao,4,東西味道還不錯，價格普通，餐期來要排隊
Tim,4,"東西不錯吃
但那個咖哩什麼的 一碗110 性價比低"
寶芬呂,5,要現場等 下午兩點左右人還是很多~餐點上很快很好吃！
許國敏,4,餐點好吃，味道剛好不會過重，出餐速度很快。
tung ju chen,5,口味正宗，上菜速度快，稍微排一下隊，當日例湯一流
蘇瑋傑,3,價位有點高，如果很久沒吃到港式餐點的話我是偶爾會來一下
葉佳欣,4,朋友一起去，很道地的港式飲茶與餐點，在金華街吧，門口不太醒目，東西不錯
Shiue Jiun,4,蠻道地的港式美食 餐點類幾乎沒有雷飲料品質穩定點會更好  可惜沒有生麵類的餐😂😂 …
Z.Y. CHEN,5,"從金華街到永康街新址，吃了好多年了。
服務親切，餐點口味不錯，推薦"
mark tsai,1,"鹹魚雞粒飯有腥味…雷
腸粉油膩…雷
芝麻糊膩口黏嘴…雷
今日連三雷，很不推！"
Pellaeon Chi,5,"只能現場排隊
東西還是很好吃
老闆親切"
何宜衡,4,份量太少，無提供嬰兒座椅，非親子友善餐廳，食物好吃道地
Sheng Hua Chuen,5,店家服務好、客氣、出菜快；老闆很親切、服務人員也是服務周到。👏 👏👏
Cindy Chen,5,出菜快速，餐點美味，不知道要吃什麼的時候就點每日特餐，會附一杯飲料。
錢明航,4,還算道地的香港茶餐廳， 推薦鹹檸七， 每次來必點， 是一家CP值蠻高的餐廳。
莊Jimmy,3,"還可以
沒想像中好吃
滑蛋牛肉飯的肉跟生炒牛肉飯
牛肉很乾"
Tong Arthur,4,個人認為比大安路上某家港式餐廳好吃不少，周遭停車位不多，要走一小段路
Chun Eric,4,適合學生吃的份量，餐點口味OK略偏油，上菜速度快，推。
Yeh Cecily,5,"廣炒+ 奶茶最愛
煎腸粉其他地方沒吃過, 來過很多次了，沒什麼地雷"
謝靜慈,3,口味不錯 就是老老闆娘太快把我水杯收走 好像趕客人
Meiyu Huang,5,最喜歡的茶餐廳，老闆夫妻和店員都可愛❤️疫情之中暫停營業了，不知道老闆好嗎？
sola Liao,4,傳統港點不多但很道地好吃，出菜速度快。
Rick Chou,2,"港式餐廳的“港式服務”
內用油煙味重
餐點油膩"
yu Taddy,1,態度極差，瘋狂趕客人，才吃完公仔面，就把全部醬料盤收走……感覺很差。
REX KUO (Head),1,點菜人員態度不佳，廚房忘了出菜也沒積極處理，只會説歹勢，糟透了，也沒開發票！
石傑中,5,好吃 翻桌率快 份量多很便宜 很推薦給大家 很道地的港式
湯圓黃,5,"喜歡吃公仔麵～然後還有菠蘿油！
另外鴛鴦奶茶也很好喝～～"
薛麗卿,4,餐點道地價格平實已吃了好多年了，去過香港澳門後還是覺得鑫華好吃！
林建清,5,平價又好吃 👍很有香港道地的味道！而且老闆人很好又是香港人💕 …
Tzu Hsing Yuan,4,推咖哩綜合&蝦米腸粉煎；蘿蔔糕偏台式腊味不足白色部分太多。
丁豪,4,"多士好好食
飯偏乾麵偏鹹肉偏硬
服務態度很棒

避開地雷會吃的很開心"
WJ Cheng (Hank),4,很道地，但是甜點不行
Thomas Fache,4,"環境明亮乾淨 服務也很讚
不過有時候不會主動提供發票！"
Hong Mike,5,價位合理，牛肉河粉非常好吃，也蠻多香港客人來吃的！
家駿,5,道地港式茶餐廳，我還問過香港人，剛好也是這家，不唬爛
Mei Lin,5,鴛鴦奶茶永遠喝不膩!招牌經典波蘿油太晚去還吃不到，推薦!
Yenhsuen Li,5,平日中午人很多要有排隊的預期，但翻桌滿快的，食物也好吃！
Julia Chen,4,楊枝甘露超讚！餐點都很道地！但內用座位比較擁擠。
